Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
81,0.9155,-0.061,-0.061,-0.1499,0.9937,-0.0762,143.2487,-155.2215,-40.6817
82,0.9155,-0.061,0.2441,-0.1494,0.9902,-0.0776,143.2487,-155.2215,-40.6817
83,0.7935,-0.3052,0.2441,-0.1475,0.9917,-0.0757,152.9277,-147.2321,-56.3285
84,1.2207,-0.8545,0.4883,-0.1436,0.9893,-0.0732,139.3771,-152.9388,-65.7166
85,1.5259,-1.4038,0.4883,-0.1465,0.9893,-0.0767,129.6981,-154.0801,-43.8111
86,1.77,-1.6479,0.4883,-0.1465,0.9873,-0.0723,129.6981,-154.0801,-43.8111
87,2.0752,-2.3193,0.5493,-0.1494,0.9839,-0.0791,149.0561,-151.7975,-62.5872
88,2.0752,-2.5024,0.4883,-0.1519,0.9878,-0.0781,145.1845,-147.2321,-50.0698
89,2.1362,-2.5024,0.6714,-0.1558,0.9868,-0.082,145.1845,-147.2321,-50.0698
90,2.2583,-2.5024,0.6104,-0.1567,0.9863,-0.0874,154.8634,-150.6561,-53.1991
91,2.3193,-2.3193,0.5493,-0.1528,0.9814,-0.0869,150.9918,-152.9388,-53.1991
92,2.1362,-1.8921,0.5493,-0.1475,0.978,-0.0869,162.6066,-155.2215,-28.1643
93,1.9531,-1.5259,0.6104,-0.1465,0.9819,-0.085,162.6066,-155.2215,-28.1643
94,1.5259,-1.2817,0.4883,-0.1421,0.9897,-0.085,145.1845,-156.3628,-43.8111
95,1.5869,-1.2817,0.6104,-0.1431,0.9912,-0.0869,149.0561,-147.2321,-62.5872
96,1.6479,-1.2817,0.4883,-0.1421,0.9922,-0.0889,149.0561,-147.2321,-62.5872
97,1.9531,-1.4648,0.3662,-0.1392,0.9946,-0.0889,147.1203,-146.0908,-46.9404
98,2.0752,-1.5259,0.3662,-0.1367,0.9971,-0.0806,145.1845,-151.7975,-31.2936
99,2.2583,-2.2583,0.3052,-0.1318,1.0024,-0.0815,145.1845,-151.7975,-31.2936
100,2.3193,-2.5635,0.2441,-0.1265,1.0,-0.0762,149.0561,-156.3628,-37.5523
101,2.4414,-3.0518,0.1831,-0.127,0.9976,-0.0723,141.3129,-158.6455,-75.1047
102,2.8687,-3.9062,0.3052,-0.1313,0.9883,-0.0742,147.1203,-150.6561,-46.9404
103,2.9907,-3.9673,0.3052,-0.1328,0.9805,-0.0693,147.1203,-150.6561,-46.9404
104,3.1128,-4.3945,-0.1221,-0.1333,0.979,-0.0718,141.3129,-151.7975,-50.0698
105,3.0518,-4.6997,-0.3052,-0.1406,0.9834,-0.0786,145.1845,-151.7975,-37.5523
106,2.9297,-4.6387,-0.2441,-0.1455,0.9854,-0.0806,145.1845,-151.7975,-37.5523
107,2.3193,-3.479,-0.061,-0.1445,0.9844,-0.0713,154.8634,-162.0695,-46.9404
108,2.2583,-3.479,-0.3662,-0.1475,0.9873,-0.0747,156.7992,-147.2321,-31.2936
109,2.8076,-3.6621,-1.0986,-0.144,1.0029,-0.084,147.1203,-150.6561,-53.1991
110,2.8687,-3.418,-1.2817,-0.1367,1.0063,-0.0884,147.1203,-150.6561,-53.1991
